"","Timestamp","Age","t1","t2","t3","t4","t5","t6","t7","t8","t9","FirstType","FirstEssay","Code","firstNormal","firstFun","FUN_ANS1","FUN_A1","FUN_ANS2","FUN_A2","FUN_ANS3","FUN_A3","FUN_ANS4","FUN_A4","FUN_ANS5","FUN_A5","SAD_ANS1","SAD_A1","SAD_ANS2","SAD_A2","SAD_ANS3","SAD_A3","SAD_ANS4","SAD_A4","SAD_ANS5","SAD_A5","PrimEng","Female","RaceCode","DegreeCode","readTM","readBook","readSci","readMag","readProf","readNone","UsesGlasses","SpritzExp","FUN","SAD","Y","trt","FS"
"18","12/2/2014 0:46:52",43,4994,5586,77855,41758,11524,27731,102407,46640,111378,"Normal","Fun","xldjkp",1,1,0,1,1,3,1,4,1,1,1,4,1,4,0,1,0,1,1,1,1,2,1,1,6,5,1,0,0,1,1,0,1,1,4,3,4,0,"FUN"
"19","12/2/2014 0:48:10",40,7650,9088,59106,31935,14899,10956,109034,48544,65156,"Normal","Fun","4onm2e",1,1,1,2,1,3,1,4,1,1,1,4,0,1,1,3,0,1,0,2,0,1,1,1,6,5,0,1,0,1,1,0,0,0,5,1,5,0,"FUN"
"20","12/2/2014 0:49:16",23,5714,19453,169057,32262,9765,34918,100055,63060,69273,"Normal","Fun","9epzbl",1,1,0,1,1,3,1,4,1,1,1,4,1,4,0,4,1,2,1,1,1,2,1,0,1,5,1,1,0,0,1,0,0,0,4,4,4,0,"FUN"
"21","12/2/2014 0:50:51",49,11798,10329,150193,232260,24509,14048,17285,218209,44056,"Normal","Fun","lwm13v",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,1,2,1,1,1,2,1,0,1,5,1,1,0,1,0,0,1,0,5,5,5,0,"FUN"
"22","12/2/2014 0:54:18",59,28238,9918,194987,68466,25194,55365,151980,70378,173980,"Normal","Fun","qapb6z",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,1,2,1,1,1,2,1,0,6,3,1,0,0,1,1,0,0,0,5,5,5,0,"FUN"
"23","12/2/2014 0:56:24",32,12276,8337,105071,29459,13419,87931,159722,51098,157657,"Normal","Fun","yumiwv",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,0,1,0,2,1,2,1,0,6,5,1,1,0,1,1,0,1,0,5,3,5,0,"FUN"
"24","12/2/2014 0:56:38",44,5682,8413,120462,54704,25232,18006,16631,70896,107963,"Normal","Fun","12anot",1,1,1,2,1,3,1,4,1,1,1,4,0,3,0,1,0,1,0,4,1,2,1,0,6,3,1,1,1,1,1,0,1,0,5,1,5,0,"FUN"
"25","12/2/2014 0:57:08",22,3204,2335,35842,37208,2639,26596,97668,22968,32481,"Normal","Fun","6qil3t",1,1,1,2,1,3,0,1,1,1,1,4,1,4,0,1,1,2,1,1,1,2,1,1,6,2,0,1,1,0,0,0,1,0,4,4,4,0,"FUN"
"26","12/2/2014 0:57:49",33,7334,7431,74508,35097,10939,7823,1220,36795,46189,"Normal","Fun","aik83q",1,1,1,2,1,3,1,4,1,1,1,4,0,1,0,1,0,1,0,3,0,4,1,0,6,3,1,1,0,0,0,0,1,0,5,0,5,0,"FUN"
"27","12/2/2014 1:01:31",26,29748,7880,12879,81249,16817,28585,59753,44635,35566,"Normal","Fun","tlto4b",1,1,1,2,1,3,1,4,1,1,1,4,0,2,0,2,1,2,0,2,0,4,1,0,6,5,1,1,1,1,1,0,0,0,5,1,5,0,"FUN"
"28","12/2/2014 1:02:20",30,2798,3853,12638,32518,5080,23619,97373,37263,26103,"Normal","Fun","7dqmbu",1,1,0,4,1,3,0,0,1,1,1,4,0,2,1,3,1,2,1,1,0,4,1,1,6,4,1,1,0,1,0,0,0,0,3,3,3,0,"FUN"
"29","12/2/2014 1:03:03",46,5480,1898,38666,27976,11904,21969,4702,42550,67167,"Normal","Fun","r2l6o8",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,0,1,0,2,0,4,1,1,6,5,0,0,0,0,0,0,0,0,5,2,5,0,"FUN"
"30","12/2/2014 1:03:12",33,41122,23040,137817,52521,86530,25813,99344,37316,59040,"Normal","Fun","gou48s",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,0,3,1,1,1,2,1,0,6,4,1,0,0,1,0,0,0,0,5,4,5,0,"FUN"
"31","12/2/2014 1:03:47",20,16295,51606,36595,32248,9086,23484,134160,29583,55179,"Normal","Fun","v6jxnj",1,1,0,1,1,3,1,4,1,1,0,2,1,4,0,1,0,3,1,1,0,3,1,0,1,2,1,0,1,1,0,0,0,0,3,2,3,0,"FUN"
"32","12/2/2014 1:03:52",25,9619,14286,116360,53303,19663,40992,101936,58107,90338,"Normal","Fun","2w8crk",1,1,0,1,0,2,1,4,1,1,1,4,1,4,1,3,1,2,0,3,1,2,1,1,1,6,0,1,0,1,1,0,0,0,3,4,3,0,"FUN"
"33","12/2/2014 1:05:22",27,6969,7216,373180,111715,5021,52560,105079,42878,49562,"Normal","Fun","9wddjj",1,1,0,1,1,3,1,4,0,3,1,4,0,2,1,3,0,1,1,1,1,2,1,1,1,5,1,1,1,0,0,0,1,0,3,3,3,0,"FUN"
"34","12/2/2014 1:07:45",33,9319,6287,32071,91990,16062,23524,96545,29140,47170,"Normal","Fun","raztkd",1,1,0,4,0,2,1,4,1,1,1,4,0,2,0,1,1,2,1,1,0,3,1,1,6,3,1,1,0,1,1,0,1,0,3,2,3,0,"FUN"
"35","12/2/2014 1:08:36",30,5793,6351,996858,56859,19621,24353,101278,69275,69089,"Normal","Fun","ik0xp3",1,1,0,1,1,3,1,4,1,1,1,4,1,4,1,3,1,2,1,1,0,4,1,1,1,5,0,0,0,0,0,0,0,0,4,4,4,0,"FUN"
"36","12/2/2014 1:08:45",28,8256,7656,96418,240958,50460,34290,106834,157596,77423,"Normal","Fun","8cbyc2",1,1,1,2,1,3,1,4,1,1,1,4,1,4,0,1,1,2,1,1,1,2,1,1,3,3,0,1,0,0,1,0,0,0,5,4,5,0,"FUN"
"37","12/2/2014 1:09:21",18,119374,4503,44307,37072,9051,23842,98568,26769,39571,"Normal","Fun","2p35et",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,1,2,1,1,1,2,1,1,6,3,1,1,0,1,0,0,1,1,5,5,5,0,"FUN"
"38","12/2/2014 1:09:47",29,15164,26351,133464,50390,42446,53992,138664,63871,94878,"Normal","Fun","im5dqj",1,1,0,1,1,3,1,4,1,1,1,4,1,4,1,3,1,2,0,2,0,1,0,0,1,5,0,1,1,0,1,0,0,0,4,3,4,0,"FUN"
"39","12/2/2014 1:10:19",28,2118,1765,76063,29948,5735,22408,95880,31933,154242,"Normal","Fun","rt5bho",1,1,0,1,1,3,0,0,1,1,1,4,0,1,1,3,0,3,1,1,0,4,1,0,6,2,0,0,0,0,0,0,0,0,3,2,3,0,"FUN"
"40","12/2/2014 1:10:28",26,3161,1850,11080,31429,1954,23563,106374,553146,44705,"Normal","Fun","9sjfvm",1,1,1,2,1,3,0,1,1,1,0,1,0,1,0,4,0,1,1,1,0,4,1,1,6,3,1,1,0,1,0,0,1,0,3,1,3,0,"FUN"
"41","12/2/2014 1:11:00",34,5237,5995,62211,37042,7675,25264,97851,44465,28193,"Normal","Fun","ciza2y",1,1,1,2,1,3,1,4,1,1,1,4,0,2,1,3,1,2,1,1,0,4,1,0,6,3,1,1,0,0,0,0,0,0,5,3,5,0,"FUN"
"42","12/2/2014 1:11:01",38,3882,4391,45211,21027,12010,22972,97926,26841,50444,"Normal","Fun","6ukyix",1,1,1,2,1,3,1,4,1,1,1,4,1,4,1,3,1,2,1,1,1,2,1,1,6,5,1,1,0,1,1,0,1,0,5,5,5,0,"FUN"
"43","12/2/2014 1:12:31",29,8458,1020,2384,12644,1989,25801,105554,49060,41316,"Normal","Fun","uw8o58",1,1,0,1,1,3,1,4,1,1,1,4,1,4,0,1,0,1,1,1,1,2,1,0,6,5,0,1,0,0,1,0,0,0,4,3,4,0,"FUN"
"44","12/2/2014 1:13:04",49,5572,6410,201191,64114,20265,3110,110067,47295,87287,"Normal","Fun","g189lb",1,1,0,1,1,3,1,4,1,1,1,4,0,2,1,3,1,2,1,1,1,2,1,1,2,4,1,1,0,1,1,0,1,0,4,4,4,0,"FUN"
"45","12/2/2014 1:13:38",27,13994,9820,171424,65168,24705,8987,23792,193248,54775,"Normal","Fun","dqot3v",1,1,0,1,1,3,0,0,1,1,0,1,0,1,0,1,0,4,0,3,0,1,1,0,6,4,0,0,0,1,0,0,0,0,2,0,2,0,"FUN"
